conta,duração,historico,motivo,quantia,poupança,emprego,taxa,status,garantia,residencia,propriedades,idade,financiamentos,moradia,creditos,trabalho,dependentes,telefone,estrangeiro,pagador
negativo,24,conta crítica,carro novo,1199,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,60,nenhum,própria,2,nível 1,1,não,não,mau
negativo,15,pagamento em dia,carro novo,1403,<100,"[1,4) anos",2,feminino/divorciado,nenhum,4,carro,28,nenhum,alugada,1,nível 2,1,não,não,bom
negativo,24,pagamento em dia,radio/televisão,1282,[100-500),"[1,4) anos",4,feminino/divorciado,nenhum,2,carro,32,nenhum,própria,1,nível 1,1,não,não,mau
sem conta,24,conta crítica,radio/televisão,2424,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,seguro  de vida,53,nenhum,própria,2,nível 2,1,não,não,bom
negativo,30,primeira vez,negócios,8072,sem conta,< 1 ano,2,masculino/solteiro,nenhum,3,carro,25,bancos,própria,3,nível 2,1,não,não,bom
[0-200),24,pagamento em dia,carro usado,12579,<100,> 7 anos,4,feminino/divorciado,nenhum,2,sem propriedades,44,nenhum,de graça,1,nível 3,1,sim,não,mau
sem conta,24,pagamento em dia,radio/televisão,3430,[500-1000),> 7 anos,3,masculino/solteiro,nenhum,2,carro,31,nenhum,própria,1,nível 2,2,sim,não,bom
sem conta,9,conta crítica,carro novo,2134,<100,"[1,4) anos",4,masculino/solteiro,nenhum,4,carro,48,nenhum,própria,3,nível 2,1,sim,não,bom
negativo,6,pagamento em dia,radio/televisão,2647,[500-1000),"[1,4) anos",2,masculino/solteiro,nenhum,3,imobiliario,44,nenhum,alugada,1,nível 2,2,não,não,bom
negativo,10,conta crítica,carro novo,2241,<100,< 1 ano,1,masculino/solteiro,nenhum,3,imobiliario,48,nenhum,alugada,2,nível 1,2,não,sim,bom
[0-200),12,conta crítica,carro usado,1804,[100-500),< 1 ano,3,masculino/solteiro,nenhum,4,seguro  de vida,44,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,10,conta crítica,móveis,2069,sem conta,"[1,4) anos",2,masculino/casado,nenhum,1,carro,26,nenhum,própria,2,nível 2,1,não,sim,bom
negativo,6,pagamento em dia,móveis,1374,<100,"[1,4) anos",1,masculino/solteiro,nenhum,2,imobiliario,36,bancos,própria,1,nível 1,1,sim,não,bom
sem conta,6,primeira vez,radio/televisão,426,<100,> 7 anos,4,masculino/casado,nenhum,4,carro,39,nenhum,própria,1,nível 1,1,não,não,bom
200+,12,creditos quitados,radio/televisão,409,>1000,"[1,4) anos",3,feminino/divorciado,nenhum,3,imobiliario,42,nenhum,alugada,2,nível 2,1,não,não,bom
[0-200),7,pagamento em dia,radio/televisão,2415,<100,"[1,4) anos",3,masculino/solteiro,fiador,2,imobiliario,34,nenhum,própria,1,nível 2,1,não,não,bom
negativo,60,já atrasou pagamentos,negócios,6836,<100,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,63,nenhum,própria,2,nível 2,1,sim,não,mau
[0-200),18,pagamento em dia,negócios,1913,>1000,< 1 ano,3,masculino/casado,nenhum,3,imobiliario,36,bancos,própria,1,nível 2,1,sim,não,bom
negativo,24,pagamento em dia,móveis,4020,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,carro,27,lojas,própria,1,nível 2,1,não,não,bom
[0-200),18,pagamento em dia,carro novo,5866,[100-500),"[1,4) anos",2,masculino/solteiro,nenhum,2,carro,30,nenhum,própria,2,nível 2,1,sim,não,bom
sem conta,12,conta crítica,negócios,1264,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,57,nenhum,alugada,1,nível 1,1,não,não,bom
200+,12,pagamento em dia,móveis,1474,<100,< 1 ano,4,feminino/divorciado,nenhum,1,seguro  de vida,33,bancos,própria,1,nível 3,1,sim,não,bom
[0-200),45,conta crítica,radio/televisão,4746,<100,< 1 ano,4,masculino/solteiro,nenhum,2,seguro  de vida,25,nenhum,própria,2,nível 1,1,não,não,mau
sem conta,48,conta crítica,educação,6110,<100,"[1,4) anos",1,masculino/solteiro,nenhum,3,sem propriedades,31,bancos,de graça,1,nível 2,1,sim,não,bom
200+,18,pagamento em dia,radio/televisão,2100,<100,"[1,4) anos",4,masculino/solteiro,co-aplicante,2,imobiliario,37,lojas,própria,1,nível 2,1,não,não,mau
200+,10,pagamento em dia,itens de casa,1225,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,carro,37,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),9,pagamento em dia,radio/televisão,458,<100,"[1,4) anos",4,masculino/solteiro,nenhum,3,imobiliario,24,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,30,pagamento em dia,radio/televisão,2333,[500-1000),> 7 anos,4,masculino/solteiro,nenhum,2,carro,30,bancos,própria,1,nível 3,1,não,não,bom
[0-200),12,pagamento em dia,radio/televisão,1158,[500-1000),"[1,4) anos",3,masculino/divorciado,nenhum,1,carro,26,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),18,já atrasou pagamentos,reparos,6204,<100,"[1,4) anos",2,masculino/solteiro,nenhum,4,imobiliario,44,nenhum,própria,1,nível 1,2,sim,não,bom
negativo,30,conta crítica,carro usado,6187,[100-500),"[4,7) anos",1,masculino/casado,nenhum,4,carro,24,nenhum,alugada,2,nível 2,1,não,não,bom
negativo,48,conta crítica,carro usado,6143,<100,> 7 anos,4,feminino/divorciado,nenhum,4,sem propriedades,58,lojas,de graça,2,nível 1,1,não,não,mau
sem conta,11,conta crítica,carro novo,1393,<100,< 1 ano,4,feminino/divorciado,nenhum,4,carro,35,nenhum,própria,2,nível 3,1,não,não,bom
sem conta,36,pagamento em dia,radio/televisão,2299,[500-1000),> 7 anos,4,masculino/solteiro,nenhum,4,carro,39,nenhum,própria,1,nível 2,1,não,não,bom
negativo,6,pagamento em dia,carro usado,1352,[500-1000),desempregado,1,feminino/divorciado,nenhum,2,seguro  de vida,23,nenhum,alugada,1,desempregado,1,sim,não,bom
sem conta,11,conta crítica,carro novo,7228,<100,"[1,4) anos",1,masculino/solteiro,nenhum,4,seguro  de vida,39,nenhum,própria,2,nível 1,1,não,não,bom
sem conta,12,pagamento em dia,radio/televisão,2073,[100-500),"[1,4) anos",4,feminino/divorciado,co-aplicante,2,imobiliario,28,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),24,já atrasou pagamentos,móveis,2333,sem conta,< 1 ano,4,masculino/solteiro,nenhum,2,seguro  de vida,29,bancos,própria,1,nível 1,1,não,não,bom
[0-200),27,já atrasou pagamentos,carro usado,5965,<100,> 7 anos,1,masculino/solteiro,nenhum,2,carro,30,nenhum,própria,2,nível 3,1,sim,não,bom
sem conta,12,pagamento em dia,radio/televisão,1262,<100,"[1,4) anos",3,masculino/solteiro,nenhum,2,carro,25,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,18,pagamento em dia,carro usado,3378,sem conta,"[1,4) anos",2,masculino/solteiro,nenhum,1,seguro  de vida,31,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),36,já atrasou pagamentos,carro novo,2225,<100,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,57,bancos,de graça,2,nível 2,1,sim,não,mau
sem conta,6,creditos quitados,carro novo,783,sem conta,"[1,4) anos",1,masculino/solteiro,fiador,2,imobiliario,26,lojas,própria,1,nível 1,2,não,não,bom
[0-200),12,pagamento em dia,radio/televisão,6468,sem conta,desempregado,2,masculino/solteiro,nenhum,1,sem propriedades,52,nenhum,própria,1,nível 3,1,sim,não,mau
sem conta,36,conta crítica,radio/televisão,9566,<100,"[1,4) anos",2,feminino/divorciado,nenhum,2,carro,31,lojas,própria,2,nível 2,1,não,não,bom
200+,18,pagamento em dia,carro novo,1961,<100,> 7 anos,3,feminino/divorciado,nenhum,2,carro,23,nenhum,própria,1,nível 3,1,não,não,bom
negativo,36,conta crítica,móveis,6229,<100,< 1 ano,4,feminino/divorciado,co-aplicante,4,sem propriedades,23,nenhum,alugada,2,nível 1,1,sim,não,mau
[0-200),9,pagamento em dia,negócios,1391,<100,"[1,4) anos",2,masculino/casado,nenhum,1,imobiliario,27,bancos,própria,1,nível 2,1,sim,não,bom
[0-200),15,conta crítica,radio/televisão,1537,sem conta,> 7 anos,4,masculino/solteiro,fiador,4,imobiliario,50,nenhum,própria,2,nível 2,1,sim,não,bom
[0-200),36,primeira vez,negócios,1953,<100,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,61,nenhum,de graça,1,nível 3,1,sim,não,mau
[0-200),48,primeira vez,negócios,14421,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,carro,25,nenhum,própria,1,nível 2,1,sim,não,mau
sem conta,24,pagamento em dia,radio/televisão,3181,<100,< 1 ano,4,feminino/divorciado,nenhum,4,seguro  de vida,26,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,27,pagamento em dia,reparos,5190,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,seguro  de vida,48,nenhum,própria,4,nível 2,2,sim,não,bom
sem conta,12,pagamento em dia,radio/televisão,2171,<100,< 1 ano,2,feminino/divorciado,nenhum,2,carro,29,bancos,própria,1,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,carro novo,1007,>1000,"[1,4) anos",4,masculino/casado,nenhum,1,imobiliario,22,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,36,pagamento em dia,educação,1819,<100,"[1,4) anos",4,masculino/solteiro,nenhum,4,sem propriedades,37,lojas,de graça,1,nível 2,1,sim,não,mau
sem conta,36,pagamento em dia,radio/televisão,2394,sem conta,"[1,4) anos",4,feminino/divorciado,nenhum,4,carro,25,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,36,pagamento em dia,carro usado,8133,<100,"[1,4) anos",1,feminino/divorciado,nenhum,2,seguro  de vida,30,bancos,própria,1,nível 2,1,não,não,bom
sem conta,7,conta crítica,radio/televisão,730,sem conta,> 7 anos,4,masculino/solteiro,nenhum,2,seguro  de vida,46,nenhum,alugada,2,nível 1,1,sim,não,bom
negativo,8,conta crítica,outros,1164,<100,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,51,bancos,de graça,2,nível 3,2,sim,não,bom
[0-200),42,conta crítica,negócios,5954,<100,"[4,7) anos",2,feminino/divorciado,nenhum,1,imobiliario,41,bancos,própria,2,nível 1,1,não,não,bom
negativo,36,pagamento em dia,educação,1977,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,40,nenhum,própria,1,nível 3,1,sim,não,mau
negativo,12,conta crítica,carro usado,1526,<100,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,66,nenhum,de graça,2,nível 3,1,não,não,bom
negativo,42,pagamento em dia,radio/televisão,3965,<100,< 1 ano,4,masculino/solteiro,nenhum,3,carro,34,nenhum,própria,1,nível 2,1,não,não,mau
[0-200),11,já atrasou pagamentos,radio/televisão,4771,<100,"[4,7) anos",2,masculino/solteiro,nenhum,4,seguro  de vida,51,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,54,primeira vez,carro usado,9436,sem conta,"[1,4) anos",2,masculino/solteiro,nenhum,2,seguro  de vida,39,nenhum,própria,1,nível 1,2,não,não,bom
[0-200),30,pagamento em dia,móveis,3832,<100,< 1 ano,2,masculino/casado,nenhum,1,seguro  de vida,22,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,24,pagamento em dia,radio/televisão,5943,sem conta,< 1 ano,1,feminino/divorciado,nenhum,1,carro,44,nenhum,própria,2,nível 2,1,sim,não,mau
sem conta,15,pagamento em dia,radio/televisão,1213,[500-1000),> 7 anos,4,masculino/solteiro,nenhum,3,seguro  de vida,47,lojas,própria,1,nível 2,1,sim,não,bom
sem conta,18,pagamento em dia,negócios,1568,[100-500),"[1,4) anos",3,feminino/divorciado,nenhum,4,seguro  de vida,24,nenhum,alugada,1,nível 1,1,não,não,bom
negativo,24,pagamento em dia,outros,1755,<100,> 7 anos,4,feminino/divorciado,fiador,4,imobiliario,58,nenhum,própria,1,nível 1,1,sim,não,bom
negativo,10,pagamento em dia,radio/televisão,2315,<100,> 7 anos,3,masculino/solteiro,nenhum,4,imobiliario,52,nenhum,própria,1,nível 1,1,não,não,bom
sem conta,12,conta crítica,negócios,1412,<100,"[1,4) anos",4,feminino/divorciado,fiador,2,imobiliario,29,nenhum,própria,2,nível 3,1,sim,não,bom
[0-200),18,conta crítica,móveis,1295,<100,< 1 ano,4,feminino/divorciado,nenhum,1,seguro  de vida,27,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),36,pagamento em dia,educação,12612,[100-500),"[1,4) anos",1,masculino/solteiro,nenhum,4,sem propriedades,47,nenhum,de graça,1,nível 2,2,sim,não,mau
negativo,18,pagamento em dia,carro novo,2249,[100-500),"[4,7) anos",4,masculino/solteiro,nenhum,3,carro,30,nenhum,própria,1,nível 3,2,sim,não,bom
negativo,12,primeira vez,reparos,1108,<100,"[4,7) anos",4,masculino/solteiro,nenhum,3,imobiliario,28,nenhum,própria,2,nível 2,1,não,não,mau
sem conta,12,conta crítica,radio/televisão,618,<100,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,56,nenhum,própria,1,nível 2,1,não,não,bom
negativo,12,conta crítica,carro usado,1409,<100,> 7 anos,4,masculino/solteiro,nenhum,3,imobiliario,54,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,12,conta crítica,radio/televisão,797,sem conta,> 7 anos,4,feminino/divorciado,nenhum,3,seguro  de vida,33,bancos,própria,1,nível 1,2,não,não,mau
200+,24,conta crítica,móveis,3617,sem conta,> 7 anos,4,masculino/solteiro,co-aplicante,4,sem propriedades,20,nenhum,alugada,2,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,carro novo,1318,>1000,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,54,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),54,primeira vez,negócios,15945,<100,< 1 ano,3,masculino/solteiro,nenhum,4,sem propriedades,58,nenhum,alugada,1,nível 2,1,sim,não,mau
sem conta,12,conta crítica,educação,2012,sem conta,"[4,7) anos",4,feminino/divorciado,nenhum,2,carro,61,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),18,pagamento em dia,negócios,2622,[100-500),"[1,4) anos",4,masculino/solteiro,nenhum,4,carro,34,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),36,conta crítica,radio/televisão,2337,<100,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,36,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),20,já atrasou pagamentos,carro usado,7057,sem conta,"[4,7) anos",3,masculino/solteiro,nenhum,4,seguro  de vida,36,bancos,alugada,2,nível 3,2,sim,não,bom
sem conta,24,pagamento em dia,carro novo,1469,[100-500),> 7 anos,4,masculino/casado,nenhum,4,imobiliario,41,nenhum,alugada,1,nível 1,1,não,não,bom
[0-200),36,pagamento em dia,radio/televisão,2323,<100,"[4,7) anos",4,masculino/solteiro,nenhum,4,carro,24,nenhum,alugada,1,nível 2,1,não,não,bom
sem conta,6,já atrasou pagamentos,radio/televisão,932,<100,"[1,4) anos",3,feminino/divorciado,nenhum,2,imobiliario,24,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),9,conta crítica,móveis,1919,<100,"[4,7) anos",4,masculino/solteiro,nenhum,3,carro,35,nenhum,alugada,1,nível 2,1,sim,não,bom
sem conta,12,pagamento em dia,carro usado,2445,sem conta,< 1 ano,2,masculino/casado,nenhum,4,carro,26,nenhum,alugada,1,nível 2,1,sim,não,bom
[0-200),24,conta crítica,outros,11938,<100,"[1,4) anos",2,masculino/solteiro,co-aplicante,3,carro,39,nenhum,própria,2,nível 3,2,sim,não,mau
sem conta,18,creditos quitados,carro novo,6458,<100,> 7 anos,2,masculino/solteiro,nenhum,4,sem propriedades,39,bancos,própria,2,nível 3,2,sim,não,mau
[0-200),12,pagamento em dia,carro novo,6078,<100,"[4,7) anos",2,masculino/solteiro,nenhum,2,carro,32,nenhum,própria,1,nível 2,1,não,não,bom
negativo,24,pagamento em dia,móveis,7721,sem conta,< 1 ano,1,feminino/divorciado,nenhum,2,seguro  de vida,30,nenhum,própria,1,nível 2,1,sim,sim,bom
[0-200),14,pagamento em dia,negócios,1410,[500-1000),> 7 anos,1,masculino/casado,nenhum,2,imobiliario,35,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),6,já atrasou pagamentos,negócios,1449,[100-500),> 7 anos,1,masculino/divorciado,nenhum,2,carro,31,bancos,própria,2,nível 2,2,não,não,bom
200+,15,pagamento em dia,educação,392,<100,< 1 ano,4,feminino/divorciado,nenhum,4,seguro  de vida,23,nenhum,alugada,1,nível 2,1,sim,não,bom
[0-200),18,pagamento em dia,carro novo,6260,<100,"[4,7) anos",3,masculino/solteiro,nenhum,3,imobiliario,28,nenhum,alugada,1,nível 1,1,não,não,bom
sem conta,36,conta crítica,carro novo,7855,<100,"[1,4) anos",4,feminino/divorciado,nenhum,2,imobiliario,25,lojas,própria,2,nível 2,1,sim,não,mau
negativo,12,pagamento em dia,radio/televisão,1680,[500-1000),> 7 anos,3,masculino/casado,nenhum,1,imobiliario,35,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,48,conta crítica,radio/televisão,3578,sem conta,> 7 anos,4,masculino/solteiro,nenhum,1,imobiliario,47,nenhum,própria,1,nível 2,1,sim,não,bom
negativo,42,pagamento em dia,radio/televisão,7174,sem conta,"[4,7) anos",4,feminino/divorciado,nenhum,3,carro,30,nenhum,própria,1,nível 3,1,sim,não,mau
negativo,10,conta crítica,móveis,2132,sem conta,< 1 ano,2,feminino/divorciado,co-aplicante,3,imobiliario,27,nenhum,alugada,2,nível 2,1,não,sim,bom
negativo,33,conta crítica,móveis,4281,[500-1000),"[1,4) anos",1,feminino/divorciado,nenhum,4,carro,23,nenhum,própria,2,nível 2,1,não,não,mau
[0-200),12,conta crítica,carro novo,2366,[500-1000),"[4,7) anos",3,masculino/divorciado,nenhum,3,carro,36,nenhum,própria,1,nível 3,1,sim,não,bom
negativo,21,pagamento em dia,radio/televisão,1835,<100,"[1,4) anos",3,feminino/divorciado,nenhum,2,imobiliario,25,nenhum,própria,2,nível 2,1,sim,não,mau
sem conta,24,conta crítica,carro usado,3868,<100,> 7 anos,4,feminino/divorciado,nenhum,2,carro,41,nenhum,alugada,2,nível 3,1,sim,não,bom
sem conta,12,pagamento em dia,móveis,1768,<100,"[1,4) anos",3,masculino/solteiro,nenhum,2,imobiliario,24,nenhum,alugada,1,nível 1,1,não,não,bom
200+,10,conta crítica,carro novo,781,<100,> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,63,nenhum,de graça,2,nível 2,1,sim,não,bom
[0-200),18,pagamento em dia,móveis,1924,sem conta,< 1 ano,4,feminino/divorciado,nenhum,3,imobiliario,27,nenhum,alugada,1,nível 2,1,não,não,mau
negativo,12,conta crítica,carro novo,2121,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,seguro  de vida,30,nenhum,própria,2,nível 2,1,não,não,bom
negativo,12,pagamento em dia,radio/televisão,701,<100,"[1,4) anos",4,masculino/casado,nenhum,2,imobiliario,40,nenhum,própria,1,nível 1,1,não,não,bom
[0-200),12,pagamento em dia,reparos,639,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,30,nenhum,própria,1,nível 2,1,não,não,mau
[0-200),12,conta crítica,carro usado,1860,<100,desempregado,4,masculino/solteiro,nenhum,2,carro,34,nenhum,própria,2,nível 3,1,sim,não,bom
negativo,12,conta crítica,carro novo,3499,<100,"[1,4) anos",3,feminino/divorciado,co-aplicante,2,imobiliario,29,nenhum,própria,2,nível 2,1,não,não,mau
[0-200),48,pagamento em dia,carro novo,8487,sem conta,"[4,7) anos",1,feminino/divorciado,nenhum,2,carro,24,nenhum,própria,1,nível 2,1,não,não,bom
negativo,36,já atrasou pagamentos,educação,6887,<100,"[1,4) anos",4,masculino/solteiro,nenhum,3,seguro  de vida,29,lojas,própria,1,nível 2,1,sim,não,mau
sem conta,15,pagamento em dia,móveis,2708,<100,< 1 ano,2,masculino/solteiro,nenhum,3,seguro  de vida,27,bancos,própria,2,nível 1,1,não,não,bom
sem conta,18,pagamento em dia,móveis,1984,<100,"[1,4) anos",4,masculino/solteiro,nenhum,4,sem propriedades,47,bancos,de graça,2,nível 2,1,não,não,bom
sem conta,60,pagamento em dia,radio/televisão,10144,[100-500),"[4,7) anos",2,feminino/divorciado,nenhum,4,imobiliario,21,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,12,conta crítica,radio/televisão,1240,sem conta,> 7 anos,4,feminino/divorciado,nenhum,2,imobiliario,38,nenhum,própria,2,nível 2,1,sim,não,bom
sem conta,27,já atrasou pagamentos,carro usado,8613,>1000,"[1,4) anos",2,masculino/solteiro,nenhum,2,carro,27,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,radio/televisão,766,[500-1000),"[1,4) anos",4,masculino/solteiro,nenhum,3,imobiliario,66,nenhum,própria,1,nível 1,1,não,não,mau
[0-200),15,conta crítica,radio/televisão,2728,sem conta,"[4,7) anos",4,masculino/solteiro,fiador,2,imobiliario,35,bancos,própria,3,nível 2,1,sim,não,bom
200+,12,pagamento em dia,radio/televisão,1881,<100,"[1,4) anos",2,feminino/divorciado,nenhum,2,carro,44,nenhum,alugada,1,nível 1,1,sim,não,bom
200+,6,pagamento em dia,carro novo,709,>1000,< 1 ano,2,masculino/casado,nenhum,2,imobiliario,27,nenhum,própria,1,desempregado,1,não,sim,bom
[0-200),36,pagamento em dia,radio/televisão,4795,<100,< 1 ano,4,feminino/divorciado,nenhum,1,sem propriedades,30,nenhum,própria,1,nível 3,1,sim,não,bom
negativo,27,pagamento em dia,radio/televisão,3416,<100,"[1,4) anos",3,masculino/solteiro,nenhum,2,carro,27,nenhum,própria,1,nível 3,1,não,não,bom
negativo,18,pagamento em dia,móveis,2462,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,carro,22,nenhum,própria,1,nível 2,1,não,não,mau
sem conta,21,conta crítica,móveis,2288,<100,< 1 ano,4,feminino/divorciado,nenhum,4,seguro  de vida,23,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),48,creditos quitados,negócios,3566,[100-500),"[4,7) anos",4,masculino/solteiro,nenhum,2,carro,30,nenhum,própria,1,nível 2,1,não,não,bom
negativo,6,conta crítica,carro novo,860,<100,> 7 anos,1,feminino/divorciado,nenhum,4,sem propriedades,39,nenhum,própria,2,nível 2,1,sim,não,bom
sem conta,12,conta crítica,carro novo,682,[100-500),"[4,7) anos",4,feminino/divorciado,nenhum,3,carro,51,nenhum,própria,2,nível 2,1,sim,não,bom
negativo,36,conta crítica,móveis,5371,<100,"[1,4) anos",3,masculino/solteiro,fiador,2,seguro  de vida,28,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,18,conta crítica,radio/televisão,1582,>1000,> 7 anos,4,masculino/solteiro,nenhum,4,carro,46,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,6,pagamento em dia,radio/televisão,1346,[100-500),> 7 anos,2,masculino/solteiro,nenhum,4,sem propriedades,42,bancos,de graça,1,nível 2,2,sim,não,bom
sem conta,10,pagamento em dia,radio/televisão,1924,<100,"[1,4) anos",1,masculino/solteiro,nenhum,4,seguro  de vida,38,nenhum,própria,1,nível 2,1,sim,sim,bom
200+,36,pagamento em dia,radio/televisão,5848,<100,"[1,4) anos",4,masculino/solteiro,nenhum,1,carro,24,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),24,conta crítica,carro usado,7758,>1000,> 7 anos,2,feminino/divorciado,nenhum,4,sem propriedades,29,nenhum,alugada,1,nível 2,1,não,não,bom
[0-200),24,já atrasou pagamentos,negócios,6967,[100-500),"[4,7) anos",4,masculino/solteiro,nenhum,4,carro,36,nenhum,alugada,1,nível 3,1,sim,não,bom
negativo,12,pagamento em dia,móveis,1282,<100,"[1,4) anos",2,feminino/divorciado,nenhum,4,carro,20,nenhum,alugada,1,nível 2,1,não,não,mau
negativo,9,conta crítica,reparos,1288,[100-500),> 7 anos,3,masculino/solteiro,fiador,4,imobiliario,48,nenhum,própria,2,nível 2,2,não,sim,bom
negativo,12,creditos quitados,retreinamentos,339,<100,> 7 anos,4,masculino/casado,nenhum,1,carro,45,bancos,própria,1,nível 1,1,não,não,bom
[0-200),24,pagamento em dia,carro novo,3512,[100-500),"[4,7) anos",2,masculino/solteiro,nenhum,3,carro,38,bancos,própria,2,nível 2,1,sim,não,bom
sem conta,6,conta crítica,radio/televisão,1898,sem conta,"[1,4) anos",1,masculino/solteiro,nenhum,2,imobiliario,34,nenhum,própria,2,nível 1,2,não,não,bom
sem conta,24,conta crítica,radio/televisão,2872,[100-500),> 7 anos,3,masculino/solteiro,nenhum,4,imobiliario,36,nenhum,própria,1,nível 2,2,sim,não,bom
sem conta,18,conta crítica,carro novo,1055,<100,< 1 ano,4,feminino/divorciado,nenhum,1,seguro  de vida,30,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,15,pagamento em dia,itens de casa,1262,[500-1000),"[4,7) anos",4,masculino/solteiro,nenhum,3,seguro  de vida,36,nenhum,própria,2,nível 2,1,sim,não,bom
[0-200),10,pagamento em dia,carro novo,7308,<100,desempregado,2,masculino/solteiro,nenhum,4,sem propriedades,70,bancos,de graça,1,nível 3,1,sim,não,bom
